date,long_short_return
2026-04-13,-0.029796549865274025
2026-04-20,0.016048344013400904
2026-04-27,-0.01764465846330288
2026-05-07,-0.15757970487632106
2026-05-14,-0.09503935695110466
2026-05-21,-0.06928526936910369
2026-05-28,0.057230875564184235
2026-06-04,-0.04020567028073171
2026-06-11,0.11356527773293335
2026-06-18,-0.04714890426808109
2026-06-26,-0.04652662859560848
2026-07-03,0.03035434748698048
2026-07-10,0.21458280607903507
2026-07-17,-0.028021307398882277
2026-07-24,0.03504684954709155
2026-07-31,-0.007028619069498513
2026-08-07,0.10281820020536037
2026-08-14,-0.026567344156209833
2026-08-21,0.06572483159924625
2026-08-28,0.02553353984232054
2026-09-04,0.05927298608000179
